,ALANINE,ARGININE,ASPARAGINE,ASPARTIC_ACID,CYSTEINE,GLUTAMINE,GLUTAMIC_ACID,GLYCINE,HISTIDINE,ISOLEUCINE,LEUCINE,LYSINE,METHIONINE,PHENYLALANINE,PROLINE,SERINE,THREONINE,TRYPTOPHAN,TYROSINE,VALINE
ALANINE,4.000000,-1.000000,0.000000,0.000000,-3.000000,1.000000,0.000000,0.000000,-2.000000,0.000000,-1.000000,0.000000,1.000000,-2.000000,-1.000000,1.000000,1.000000,-5.000000,-4.000000,1.000000
ARGININE,-1.000000,8.000000,-2.000000,-1.000000,-2.000000,3.000000,-1.000000,-2.000000,-1.000000,-3.000000,-2.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,-3.000000,0.000000,0.000000,-1.000000
ASPARAGINE,0.000000,-2.000000,8.000000,1.000000,-1.000000,-1.000000,-1.000000,0.000000,-1.000000,0.000000,-2.000000,0.000000,0.000000,-1.000000,-3.000000,0.000000,1.000000,-7.000000,-4.000000,-2.000000
ASPARTIC_ACID,0.000000,-1.000000,1.000000,9.000000,-3.000000,-1.000000,1.000000,-1.000000,-2.000000,-4.000000,-1.000000,0.000000,-3.000000,-5.000000,-1.000000,0.000000,-1.000000,-4.000000,-1.000000,-2.000000
CYSTEINE,-3.000000,-2.000000,-1.000000,-3.000000,17.000000,-2.000000,1.000000,-4.000000,-5.000000,-2.000000,0.000000,-3.000000,-2.000000,-3.000000,-3.000000,-2.000000,-2.000000,-2.000000,-6.000000,-2.000000
GLUTAMINE,1.000000,3.000000,-1.000000,-1.000000,-2.000000,8.000000,2.000000,-2.000000,0.000000,-2.000000,-2.000000,0.000000,-1.000000,-3.000000,0.000000,-1.000000,0.000000,-1.000000,-1.000000,-3.000000
GLUTAMIC_ACID,0.000000,-1.000000,-1.000000,1.000000,1.000000,2.000000,6.000000,-2.000000,0.000000,-3.000000,-1.000000,2.000000,-1.000000,-4.000000,1.000000,0.000000,-2.000000,-1.000000,-2.000000,-3.000000
GLYCINE,0.000000,-2.000000,0.000000,-1.000000,-4.000000,-2.000000,-2.000000,8.000000,-3.000000,-1.000000,-2.000000,-1.000000,-2.000000,-3.000000,-1.000000,0.000000,-2.000000,1.000000,-3.000000,-3.000000
HISTIDINE,-2.000000,-1.000000,-1.000000,-2.000000,-5.000000,0.000000,0.000000,-3.000000,14.000000,-2.000000,-1.000000,-2.000000,2.000000,-3.000000,1.000000,-1.000000,-2.000000,-5.000000,0.000000,-3.000000
ISOLEUCINE,0.000000,-3.000000,0.000000,-4.000000,-2.000000,-2.000000,-3.000000,-1.000000,-2.000000,6.000000,2.000000,-2.000000,1.000000,0.000000,-3.000000,-1.000000,0.000000,-3.000000,-1.000000,4.000000
LEUCINE,-1.000000,-2.000000,-2.000000,-1.000000,0.000000,-2.000000,-1.000000,-2.000000,-1.000000,2.000000,4.000000,-2.000000,2.000000,2.000000,-3.000000,-2.000000,0.000000,-2.000000,3.000000,1.000000
LYSINE,0.000000,1.000000,0.000000,0.000000,-3.000000,0.000000,2.000000,-1.000000,-2.000000,-2.000000,-2.000000,4.000000,2.000000,-1.000000,1.000000,0.000000,-1.000000,-2.000000,-1.000000,-2.000000
METHIONINE,1.000000,0.000000,0.000000,-3.000000,-2.000000,-1.000000,-1.000000,-2.000000,2.000000,1.000000,2.000000,2.000000,6.000000,-2.000000,-4.000000,-2.000000,0.000000,-3.000000,-1.000000,0.000000
PHENYLALANINE,-2.000000,-1.000000,-1.000000,-5.000000,-3.000000,-3.000000,-4.000000,-3.000000,-3.000000,0.000000,2.000000,-1.000000,-2.000000,10.000000,-4.000000,-1.000000,-2.000000,1.000000,3.000000,1.000000
PROLINE,-1.000000,-1.000000,-3.000000,-1.000000,-3.000000,0.000000,1.000000,-1.000000,1.000000,-3.000000,-3.000000,1.000000,-4.000000,-4.000000,11.000000,-1.000000,0.000000,-3.000000,-2.000000,-4.000000
SERINE,1.000000,-1.000000,0.000000,0.000000,-2.000000,-1.000000,0.000000,0.000000,-1.000000,-1.000000,-2.000000,0.000000,-2.000000,-1.000000,-1.000000,4.000000,2.000000,-3.000000,-2.000000,-1.000000
THREONINE,1.000000,-3.000000,1.000000,-1.000000,-2.000000,0.000000,-2.000000,-2.000000,-2.000000,0.000000,0.000000,-1.000000,0.000000,-2.000000,0.000000,2.000000,5.000000,-5.000000,-1.000000,1.000000
TRYPTOPHAN,-5.000000,0.000000,-7.000000,-4.000000,-2.000000,-1.000000,-1.000000,1.000000,-5.000000,-3.000000,-2.000000,-2.000000,-3.000000,1.000000,-3.000000,-3.000000,-5.000000,20.000000,5.000000,-3.000000
TYROSINE,-4.000000,0.000000,-4.000000,-1.000000,-6.000000,-1.000000,-2.000000,-3.000000,0.000000,-1.000000,3.000000,-1.000000,-1.000000,3.000000,-2.000000,-2.000000,-1.000000,5.000000,9.000000,1.000000
VALINE,1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-3.000000,-3.000000,-3.000000,-3.000000,4.000000,1.000000,-2.000000,0.000000,1.000000,-4.000000,-1.000000,1.000000,-3.000000,1.000000,5.000000
