,ALANINE,ARGININE,ASPARAGINE,ASPARTIC_ACID,CYSTEINE,GLUTAMINE,GLUTAMIC_ACID,GLYCINE,HISTIDINE,ISOLEUCINE,LEUCINE,LYSINE,METHIONINE,PHENYLALANINE,PROLINE,SERINE,THREONINE,TRYPTOPHAN,TYROSINE,VALINE
ALANINE,5.000000,-4.000000,-2.000000,-1.000000,-4.000000,-2.000000,-1.000000,0.000000,-4.000000,-2.000000,-4.000000,-4.000000,-3.000000,-6.000000,0.000000,1.000000,1.000000,-9.000000,-5.000000,-1.000000
ARGININE,-4.000000,8.000000,-3.000000,-6.000000,-5.000000,0.000000,-5.000000,-6.000000,0.000000,-3.000000,-6.000000,2.000000,-2.000000,-7.000000,-2.000000,-1.000000,-4.000000,0.000000,-7.000000,-5.000000
ASPARAGINE,-2.000000,-3.000000,6.000000,3.000000,-7.000000,-1.000000,0.000000,-1.000000,1.000000,-3.000000,-5.000000,0.000000,-5.000000,-6.000000,-3.000000,1.000000,0.000000,-6.000000,-3.000000,-5.000000
ASPARTIC_ACID,-1.000000,-6.000000,3.000000,6.000000,-9.000000,0.000000,3.000000,-1.000000,-1.000000,-5.000000,-8.000000,-2.000000,-7.000000,-10.000000,-4.000000,-1.000000,-2.000000,-10.000000,-7.000000,-5.000000
CYSTEINE,-4.000000,-5.000000,-7.000000,-9.000000,9.000000,-9.000000,-9.000000,-6.000000,-5.000000,-4.000000,-10.000000,-9.000000,-9.000000,-8.000000,-5.000000,-1.000000,-5.000000,-11.000000,-2.000000,-4.000000
GLUTAMINE,-2.000000,0.000000,-1.000000,0.000000,-9.000000,7.000000,2.000000,-4.000000,2.000000,-5.000000,-3.000000,-1.000000,-2.000000,-9.000000,-1.000000,-3.000000,-3.000000,-8.000000,-8.000000,-4.000000
GLUTAMIC_ACID,-1.000000,-5.000000,0.000000,3.000000,-9.000000,2.000000,6.000000,-2.000000,-2.000000,-4.000000,-6.000000,-2.000000,-4.000000,-9.000000,-3.000000,-2.000000,-3.000000,-11.000000,-6.000000,-4.000000
GLYCINE,0.000000,-6.000000,-1.000000,-1.000000,-6.000000,-4.000000,-2.000000,6.000000,-6.000000,-6.000000,-7.000000,-5.000000,-6.000000,-7.000000,-3.000000,0.000000,-3.000000,-10.000000,-9.000000,-3.000000
HISTIDINE,-4.000000,0.000000,1.000000,-1.000000,-5.000000,2.000000,-2.000000,-6.000000,8.000000,-6.000000,-4.000000,-3.000000,-6.000000,-4.000000,-2.000000,-3.000000,-4.000000,-5.000000,-1.000000,-4.000000
ISOLEUCINE,-2.000000,-3.000000,-3.000000,-5.000000,-4.000000,-5.000000,-4.000000,-6.000000,-6.000000,7.000000,1.000000,-4.000000,1.000000,0.000000,-5.000000,-4.000000,-1.000000,-9.000000,-4.000000,3.000000
LEUCINE,-4.000000,-6.000000,-5.000000,-8.000000,-10.000000,-3.000000,-6.000000,-7.000000,-4.000000,1.000000,6.000000,-5.000000,2.000000,-1.000000,-5.000000,-6.000000,-4.000000,-4.000000,-4.000000,0.000000
LYSINE,-4.000000,2.000000,0.000000,-2.000000,-9.000000,-1.000000,-2.000000,-5.000000,-3.000000,-4.000000,-5.000000,6.000000,0.000000,-9.000000,-4.000000,-2.000000,-1.000000,-7.000000,-7.000000,-6.000000
METHIONINE,-3.000000,-2.000000,-5.000000,-7.000000,-9.000000,-2.000000,-4.000000,-6.000000,-6.000000,1.000000,2.000000,0.000000,10.000000,-2.000000,-5.000000,-3.000000,-2.000000,-8.000000,-7.000000,0.000000
PHENYLALANINE,-6.000000,-7.000000,-6.000000,-10.000000,-8.000000,-9.000000,-9.000000,-7.000000,-4.000000,0.000000,-1.000000,-9.000000,-2.000000,8.000000,-7.000000,-4.000000,-6.000000,-2.000000,4.000000,-5.000000
PROLINE,0.000000,-2.000000,-3.000000,-4.000000,-5.000000,-1.000000,-3.000000,-3.000000,-2.000000,-5.000000,-5.000000,-4.000000,-5.000000,-7.000000,7.000000,0.000000,-2.000000,-9.000000,-9.000000,-3.000000
SERINE,1.000000,-1.000000,1.000000,-1.000000,-1.000000,-3.000000,-2.000000,0.000000,-3.000000,-4.000000,-6.000000,-2.000000,-3.000000,-4.000000,0.000000,5.000000,2.000000,-3.000000,-5.000000,-3.000000
THREONINE,1.000000,-4.000000,0.000000,-2.000000,-5.000000,-3.000000,-3.000000,-3.000000,-4.000000,-1.000000,-4.000000,-1.000000,-2.000000,-6.000000,-2.000000,2.000000,6.000000,-8.000000,-4.000000,-1.000000
TRYPTOPHAN,-9.000000,0.000000,-6.000000,-10.000000,-11.000000,-8.000000,-11.000000,-10.000000,-5.000000,-9.000000,-4.000000,-7.000000,-8.000000,-2.000000,-9.000000,-3.000000,-8.000000,13.000000,-3.000000,-10.000000
TYROSINE,-5.000000,-7.000000,-3.000000,-7.000000,-2.000000,-8.000000,-6.000000,-9.000000,-1.000000,-4.000000,-4.000000,-7.000000,-7.000000,4.000000,-9.000000,-5.000000,-4.000000,-3.000000,9.000000,-5.000000
VALINE,-1.000000,-5.000000,-5.000000,-5.000000,-4.000000,-4.000000,-4.000000,-3.000000,-4.000000,3.000000,0.000000,-6.000000,0.000000,-5.000000,-3.000000,-3.000000,-1.000000,-10.000000,-5.000000,6.000000
